Train No,Train Name,SEQ,Station Code,Station Name,Arrival time,Halt Time,Departure Time,Distance,Distance Traveled,Distance to Next Station,Distance to Destination,Platform Number,Source Station,Source Station Name,Destination Station,Destination Station Name,Coach Count,Coaches
20175,Banaras-Agra Cantt Vande Bharat Express,3,CNB,Kanpur Central,18:47:00,5,18:52:00,315,315.0,139.0,257.0,1,BSB,Banaras,AGC,Agra,16,"C14, C1, E2, E1, C13, C2, C12, C11, C10, C9, C8, C7, C6, C5, C4, C3"
20175,Banaras-Agra Cantt Vande Bharat Express,4,ETW,Etawah Junction,20:07:00,2,20:09:00,454,454.0,92.0,118.0,2,BSB,Banaras,AGC,Agra,16,"C14, C1, E2, E1, C13, C2, C12, C11, C10, C9, C8, C7, C6, C5, C4, C3"
20175,Banaras-Agra Cantt Vande Bharat Express,5,TDL,Tundla Junction,21:17:00,722,09:19:00,546,546.0,26.0,26.0,4,BSB,Banaras,AGC,Agra,16,"C14, C1, E2, E1, C13, C2, C12, C11, C10, C9, C8, C7, C6, C5, C4, C3"
20175,Banaras-Agra Cantt Vande Bharat Express,6,AGC,Agra Cantt,22:20:00,0,--:--:--,572,572.0,0.0,0.0,6,BSB,Banaras,AGC,Agra,16,"C14, C1, E2, E1, C13, C2, C12, C11, C10, C9, C8, C7, C6, C5, C4, C3"
20176,Agra Cantt-Banaras Vande Bharat Express,1,AGC,Agra Cantt,--:--:--,0,06:00:00,0,0.0,26.0,572.0,6,AGC,Agra,BSB,Banaras,16,"C1, C14, E1, E2, C2, C13, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12"
20176,Agra Cantt-Banaras Vande Bharat Express,2,TDL,Tundla Junction,06:43:00,2,06:45:00,26,26.0,91.0,546.0,7,AGC,Agra,BSB,Banaras,16,"C1, C14, E1, E2, C2, C13, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12"
20176,Agra Cantt-Banaras Vande Bharat Express,3,ETW,Etawah Junction,07:35:00,2,07:37:00,117,117.0,140.0,455.0,3,AGC,Agra,BSB,Banaras,16,"C1, C14, E1, E2, C2, C13, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12"
20176,Agra Cantt-Banaras Vande Bharat Express,4,CNB,Kanpur Central,09:05:00,5,09:10:00,257,257.0,194.0,315.0,5,AGC,Agra,BSB,Banaras,16,"C1, C14, E1, E2, C2, C13, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12"
20176,Agra Cantt-Banaras Vande Bharat Express,5,PRYJ,Prayagraj Junction,11:10:00,5,11:15:00,451,451.0,121.0,121.0,6,AGC,Agra,BSB,Banaras,16,"C1, C14, E1, E2, C2, C13, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12"
20176,Agra Cantt-Banaras Vande Bharat Express,6,BSB,Banaras,13:00:00,0,--:--:--,572,572.0,0.0,0.0,8,AGC,Agra,BSB,Banaras,16,"C1, C14, E1, E2, C2, C13, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12"
